State,Crop,Category,Season,Sowing,Harvesting,Duration
Andhra Pradesh,Rice,Cereal,Kharif,June-July,Oct-Nov,120-150 days
Andhra Pradesh,Wheat,Cereal,Rabi,Oct-Nov,March-April,130-150 days
Andhra Pradesh,Maize,Cereal,Kharif,June-July,Sept-Oct,90-110 days
Andhra Pradesh,Jowar,Cereal,Kharif,June-July,Oct-Nov,100-120 days
Andhra Pradesh,Bajra,Cereal,Kharif,June-July,Sept-Oct,80-100 days
Andhra Pradesh,Ragi,Cereal,Kharif,June-July,Oct-Nov,110-130 days
Andhra Pradesh,Barley,Cereal,Rabi,Oct-Nov,March-April,120-140 days
Andhra Pradesh,Small Millets,Cereal,Kharif,June-July,Sept-Oct,90-110 days
Andhra Pradesh,Kodo Millet,Cereal,Kharif,June-July,Oct-Nov,100-120 days
Andhra Pradesh,Barnyard Millet,Cereal,Kharif,June-July,Sept-Oct,90-100 days
Andhra Pradesh,Foxtail Millet,Cereal,Kharif,June-July,Aug-Sept,80-90 days
Andhra Pradesh,Proso Millet,Cereal,Zaid,March-April,May-June,60-75 days
Andhra Pradesh,Little Millet,Cereal,Kharif,June-July,Sept-Oct,85-105 days
Andhra Pradesh,Oats,Cereal,Rabi,Oct-Nov,Feb-March,120-150 days
Andhra Pradesh,Gram,Pulse,Rabi,Oct-Nov,Feb-March,130-150 days
Andhra Pradesh,Tur,Pulse,Kharif,June-July,Dec-Jan,160-200 days
Andhra Pradesh,Moong,Pulse,Kharif,June-July,Aug-Sept,60-90 days
Andhra Pradesh,Urad,Pulse,Kharif,June-July,Aug-Sept,70-90 days
Andhra Pradesh,Masur,Pulse,Rabi,Oct-Nov,Feb-March,120-140 days
Andhra Pradesh,Peas,Pulse,Rabi,Oct-Nov,Jan-Feb,90-120 days
Andhra Pradesh,Horse Gram,Pulse,Kharif,Aug-Sept,Nov-Dec,120-150 days
Andhra Pradesh,Cowpea,Pulse,Kharif,June-July,Sept-Oct,80-100 days
Andhra Pradesh,Rajma,Pulse,Rabi,Oct-Nov,Feb-March,110-130 days
Andhra Pradesh,Moth Bean,Pulse,Kharif,June-July,Sept-Oct,90-110 days
Andhra Pradesh,Lathyrus,Pulse,Rabi,Oct-Nov,Feb-March,120-140 days
Andhra Pradesh,Guar,Pulse,Kharif,June-July,Oct-Nov,100-120 days
Andhra Pradesh,Groundnut,Oilseed,Kharif,June-July,Oct-Nov,100-120 days
Andhra Pradesh,Mustard,Oilseed,Rabi,Oct-Nov,Feb-March,110-130 days
Andhra Pradesh,Soybean,Oilseed,Kharif,June-July,Sept-Oct,95-115 days
Andhra Pradesh,Sunflower,Oilseed,Zaid,Jan-Feb,May-June,90-110 days
Andhra Pradesh,Sesamum,Oilseed,Kharif,June-July,Sept-Oct,80-100 days
Andhra Pradesh,Linseed,Oilseed,Rabi,Oct-Nov,Feb-March,120-150 days
Andhra Pradesh,Castor,Oilseed,Kharif,June-July,Dec-Jan,150-180 days
